xPosition	yPosition	shapeWidth	shapeHeight	shapeColor	
0	33.489468	20	20  
15	35.343739	20	20		
30	38.806097	20	20		
45	39.746545	20	20		
60	41.375833	20	20		
75	41.928907	20	20		
90	43.218573	20	20		
105	44.903447	20	20		
120	45.884746	20	20		
135	47.670032	20	20		
150	45.840433	20	20		
165	48.190655	20	20		
180	57.729179	20	20		
195	67.453560	20	20		
210	74.887967	20	20		
225	92.790110	20	20		
240	96.702554	20	20		
255	111.103711	20	20		
270	146.448379	20	20		
285	173.927181	20	20		
300	192.464009	20	20		
315	176.603519	20	20		
330	174.418844	20	20		
345	159.019373	20	20		
360	145.493020	20	20		
375	154.679345	20	20		
390	203.090347	20	20		
405	236.103534	20	20		
420	260.294057	20	20		
435	260.368848	20	20		
450	309.395599	20	20		
465	312.582932	20	20		
480	223.227177	20	20		
495	231.840544	20	20		
510	188.102716	20	20		
525	236.948000	20	20		
540	259.345064	20	20		
555	244.547649	20	20		
570	280.210612	20	20		
585	298.852058	20	20		
600	260.223136	20	20		
615	278.842251	20	20		
630	318.679714	20	20		
645	418.005462	20	20		
660	480.784796	20	20		
675	544.213763	20	20		
690	581.394842	20	20		
705	675.360529	20	20		
720	83.476560	25	25		
735	83.426898	25	25		
750	87.447004	25	25		
765	103.288687	25	25		
780	109.464532	25	25		
795	116.959275	25	25		
810	118.829748	25	25		
825	99.782145	25	25		
840	111.505125	25	25		
855	124.712041	25	25		
					
					
					
					
					
					
					
					
					
					
